fno	fname	avgoff	peroff	layout	perlayout	avgseat	perseat
3	八佰	6871.78	0.852	125133	0.575	14	0.092
1	哈利·波特与魔法石	470.75	0.058	26553	0.122	6	0.048
14	1/2的魔法	164.95	0.02	17422	0.057	5	0.041
15	魔发精灵2	77.3	0.009	12138	0.055	2	0.018
4	误杀	51.82	0.006	14451	0.036	3	0.024
6	绝地战警：极速追击	40.71	0.005	19889	0.039	2	0.015
2	星际穿越	118.4	0.004	11152	0.003	4	0.034
5	1917	19.31	0.002	3078	0.014	2	0.019
7	多力特的奇幻冒险	14.76	0.001	2637	0.012	2	0.018
8	乔乔的异想世界	1.74	0	162	0	4	0.035
							
							
							
							
							
							
							
							
							
							
							
							
							
8							
