cno	fno	starttime	scroom	fprice
1	1	13:30	4号厅 激光厅	41
1	1	14:35	3号厅 激光厅	41
1	1	17:20	3号厅 激光厅	41
1	2	13:30	2号厅 激光厅	38
1	2	16:45	2号厅 激光厅	38
1	2	20:00	5号厅 激光厅	38
1	3	19:30	1号厅 巨幕厅	40
1	3	20:00	2号厅 激光厅	38
1	3	20:15	3号厅 激光厅	38
1	3	20:25	4号厅 激光厅	38
1	4	12:20	3号厅 激光厅	38
1	4	17:45	5号厅 激光厅	38
1	5	16:25	4号厅 激光厅	41
1	5	18:25	4号厅 激光厅	41
1	6	13:20	5号厅 激光厅	38
1	8	15:35	5号厅 激光厅	38
2	1	13:20	1号厅	38
2	1	16:20	1号厅	38
2	1	19:20	1号厅	38
2	1	20:30	2号厅	38
2	5	22:10	1号厅	38
2	3	12:50	4号DTS:X厅	38
2	3	14:00	3号DTS:X厅	38
2	3	14:45	5号厅	38
2	3	15:45	4号DTS:X厅	38
2	3	17:00	3号DTS:X厅	38
2	3	18:00	5号厅	38
2	3	19:00	4号DTS:X厅	38
2	3	20:00	3号DTS:X厅	38
2	3	21:00	5号厅	38
2	3	21:45	4号DTS:X厅	38
2	12	13:14	5号厅	38
2	12	15:20	3号DTS:X厅	38
2	12	16:40	2号厅	38
2	12	17:40	3号DTS:X厅	38
2	12	19:00	2号厅	38
2	12	20:00	3号DTS:X厅	38
2	12	21:20	2号厅	38
2	13	15:00	1号厅	38
2	13	17:20	1号厅	38
2	13	19:40	1号厅	38
2	7	21:50	3号DTS:X厅	38
3	1	15:40	1号厅(激光)	29
3	3	13:30	4号厅(激光)	39
3	3	14:30	3号厅(激光)	39
3	3	15:30	1号厅(激光)	39
3	3	16:30	2号厅(激光)	39
3	3	18:35	1号厅(激光)	39
3	3	19:30	4号厅(激光)	39
3	3	20:10	3号厅(激光)	39
3	3	20:45	3号厅(激光)	39
3	3	21:25	2号厅(激光)	39
3	14	18:20	3号厅(激光)	29
3	15	13:45	2号厅(激光)	29
3	12	18:00	1号厅(激光)	39
3	16	16:20	1号厅(激光)	29
